key,sweep,controller,t,theta_deg,finger_normal_N,finger_tangential_N,table_normal_N,table_slip_mm,finger_slide_mm
size|force|78.00|0.00|0.800,size,force,0.9205,0.006479228160552277,9.977497439314249,2.670794924507691,13.236292429556965,0.03794774417675075,0.3362417443127423
size|force|78.00|0.00|0.800,size,force,0.9245,0.006485867959438549,9.977468605154932,2.6710792439348747,13.235823516883977,0.03811394090604158,0.3377032281527778
size|force|78.00|0.00|0.800,size,force,0.9285,0.00648904768344566,9.975058739769304,2.691175535877385,13.197717054363238,0.038280273734662,0.3391142304795415
size|force|78.00|0.00|0.800,size,force,0.9325,0.006495435512554096,9.975068094199896,2.6911365466400303,13.19787726029035,0.03844655651377698,0.34057586415205165
size|force|78.00|0.00|0.800,size,force,0.9365,0.0064606483620208675,9.978746581904998,2.6611385093386524,13.257210194599368,0.038613299007451495,0.3420643131741181
size|force|78.00|0.00|0.800,size,force,0.9405,0.006466864367906138,9.978730381984683,2.6612939556888136,13.256958216834239,0.0387796214449962,0.34352558425761887
size|force|78.00|0.00|0.800,size,force,0.9445,0.006452134144095955,9.97816584812814,2.665417544011321,13.247241447394316,0.038945871239448905,0.3450020599879573
size|force|78.00|0.00|0.800,size,force,0.9485,0.006457913477060138,9.97815887743241,2.665492591262549,13.247141265166857,0.039112226581055745,0.3464631847331725
size|force|78.00|0.00|0.800,size,force,0.9525,0.006454262938379205,9.977833514030204,2.667974386933387,13.241705990174209,0.0392783643319316,0.34793274077113107
size|force|78.00|0.00|0.800,size,force,0.9565,0.006451415606497385,9.977865857141904,2.667692527258476,13.242224959545645,0.03944473130313332,0.3493943530909374
size|force|78.00|0.00|0.800,size,force,0.9605,0.006458320285800554,9.977829096551181,2.66802374727342,13.241642025409408,0.03961106868907012,0.35085598378783023
size|force|78.00|0.00|0.800,size,force,0.9645,0.006461700289646754,9.977646606315323,2.669486007002967,13.23866729321138,0.03977724792856269,0.35232135486267196
size|force|78.00|0.00|0.800,size,force,0.9685,0.0064700364441396315,9.977545340667483,2.670353838696108,13.237044677040613,0.0399434726949767,0.3537841954372747
size|force|78.00|0.00|0.800,size,force,0.9725,0.00647986763984122,9.977493257807033,2.670833267768201,13.2362212452727,0.04010974943820933,0.35524570280860507
size|force|78.00|0.00|0.800,size,force,0.9765,0.0064896594147209104,9.9751448918376,2.6904933511848714,13.199011240170474,0.04027607315102596,0.3566580719763014
size|force|78.00|0.00|0.800,size,force,0.9805,0.006462425266140009,9.978700614458749,2.6614907351823187,13.256451865936922,0.04044285082079955,0.35814524483099996
size|force|78.00|0.00|0.800,size,force,0.9845,0.006454225104896192,9.97814178022723,2.6656113142439493,13.246854745235469,0.0406091876990399,0.3596206167915459
size|force|78.00|0.00|0.800,size,force,0.9885,0.006456248266084646,9.977821099492806,2.6680799948545513,13.241511418172927,0.0407754234789032,0.3610892024908356
size|force|78.00|0.00|0.800,size,force,0.9925,0.006463389011616915,9.977641381110484,2.6695333419499585,13.23858532344775,0.040941676224567576,0.36255393329474755
size|force|78.00|0.00|0.800,size,force,0.9965,0.006472742606273357,9.977543765308601,2.6703698638881335,13.237024351025154,0.041107975260256883,0.3640165258718278
size|force|78.00|0.00|0.800,size,force,1.0005,0.006482696555586167,9.97749322393829,2.6708356167038345,13.236228775614407,0.04127432000185945,0.3654779786127749
size|force|78.00|0.00|0.800,size,force,1.0045,0.006492389514792728,9.975194479802164,2.6900991883470984,13.19976712878832,0.04144070231421402,0.36689132270256053
size|force|78.00|0.00|0.800,size,force,1.0085,0.006465735547379684,9.97867543895146,2.661680675313039,13.256047175805708,0.04160753535940296,0.3683779797231952
size|force|78.00|0.00|0.800,size,force,1.0125,0.006457711959261565,9.978128217396621,2.6657181032246546,13.246645763134511,0.04177394122147095,0.36985307893867125
size|force|78.00|0.00|0.800,size,force,1.0165,0.006459699553716459,9.97781371514853,2.6681408700280924,13.241558346806503,0.041940250809376065,0.3713215217437783
size|force|78.00|0.00|0.800,size,force,1.0205,0.006468023202435779,9.977638691912167,2.6695619573699054,13.238538908498612,0.0421045889192365,0.3727850634583289
size|force|78.00|0.00|0.800,size,force,1.0245,0.0064763075936760525,9.97754278281932,2.670376763734248,13.23701256960853,0.04227090523578814,0.3742477384877061
size|force|78.00|0.00|0.800,size,force,1.0285,0.006485758126209356,9.977493246955698,2.670836195325994,13.236223419547226,0.042437323595017486,0.37570925102663827
size|force|78.00|0.00|0.800,size,force,1.0325,0.006495154670657491,9.975243713551196,2.6897063704138424,13.200523740210485,0.04260379732054676,0.3771236102550359
size|force|78.00|0.00|0.800,size,force,1.0365,0.006469033164319071,9.978650421822094,2.661869133994112,13.255650791273993,0.04277069216808817,0.3786097651258289
size|force|78.00|0.00|0.800,size,force,1.0405,0.0064611881210561665,9.978114700895588,2.6658245838015113,13.246437825454041,0.042937160296644475,0.38008458715698556
size|force|78.00|0.00|0.800,size,force,1.0445,0.006463151581587851,9.977807399682211,2.668193911547674,13.241309993776708,0.04310353335878472,0.381552896143734
